1098,"
이 4벌의 가격은??? 두둥.티셔츠 4벌과 덧신까지 해도 5만원(!!)???
"
1099,"
그리고 덧신은 1층에 들어가는 입구에 저렴하게 팔길래 구입했는데, 여름 간단한 게 신기 좋을 것 같았다. 무난한 컬러로 GET! 사실 집에서 요렇게 덧신 신고 사진도 찍었다. 하하하 이 사진엔 동생 빼고 아빠 엄마 내가 있다.?그리고 집에 와서 썸머핫이벤트로 증정 받은 선글라스(!)를 오픈해봤다.사실 네 식구가 다 써봤는데, 우리 식구들은 안경이 잘 어울리는 스타일은 아닌지나 그나마 잘 어울리시는 아빠가 쓰시기로..!!?????
"
1100,"
넓은 규모에 다양한 패션 아이템들, 옷 잘 입는 패셔너블한 사람이 되고 싶을 때 엠플레이그라운드를 방문해보면 어떨까??엠플레이그라운드는 건대입구역 2번 출구로 나와 엔제리너스를 끼고돌면 나오는 먹자골목 진입로에서 바로 만날 수 있다. 무척 찾기 쉽지만 혹시 지도로 찾아오실 분들은 화양동 5-48번지 또는 네이버 지도에서 엠플레이그라운드 건대점을 검색해 찾아갈 수 있다.?매일 오전 11시부터 새벽 1시까지 운영되며, 문의사항은 02)2205-3352로 연락해볼 수 있다.?????
"
1101,"
#건대옷가게 #건대데이트 #건대남자옷 #건대여자옷 #건대쇼핑 #건대20대옷 #건대남자옷가게 #건대여자옷가게 #무지티 #카라티 #셔츠 #남자쇼핑몰 #엠플레이그라운드 #쇼핑데이트 #건대쇼핑데이트 #건대가볼거리 #건대아이쇼핑
"
1102,심미안메디컬피어싱 건대
1103,"
안녕하세요! 찐맘보입니다ㅎㅎ어느 새 3월이네요. 봄도 찾아오고 학교도 개강하고 저도 복학했습니다ㅋㅋㅋㅋ개강한 기념(?)으로 지난 토요일에 귀를 뚫고 왔어요.제가 좀 있으면 20대 중반이 다 되어가는데 처음으로 뚫은 거랍니다ㅋㅋㅋㅋㅋ워낙 겁이 많아서 아플까봐 계속 미루고 미루다가 더 이상은 미룰 수가 없어서지난 주말에 시원하게(?) 뚫고 왔습니다ㅋㅋ
"
1104,"
만약 귀를 뚫고 싶은데 저처럼 아플까봐 겁나서 망설이고 계신 분들에게생각보다 전혀 아프지 않으니 맘 먹었을 때 얼른 뚫어두라는 말을 하고 싶어요...!정말 하나도 안 아팠습니다... 성인이 된 이후로 지난 n년간 아플까봐 미뤘는데... 그 세월이 무색할정도로 민망했네요...
"
1105,"
?사실 사진을 많이 찍어두지 못해서 포스팅을 작성할지 말지 고민을 했었는데,포스팅을 굳이 작성하는 이유는!!저처럼 겁 많으신 분들께 전혀 걱정할 필요가 없다는 사실을 알려주기 위해서랍니다ㅎㅎ?저는 건대입구에 위치한 ""심미안 메디컬 피어싱""에 방문하여 시술을 받았습니다.?
"
1106,"
사전에 예약은 하지 않고 방문하였어요.주말이라 그랬는지는 모르겠는데 시술을 받으러 오신 분들이 꽤 있었던 걸로 기억합니당.? 가격표는 제가 못 찾았나...(사실 시술 받기 전에 좀 긴장해서 사진을 촬영할 엄두를 못 냈어요ㅠㅠ)저는 금속 알러지가 걱정되서, 집에 있는 엄마의 금귀걸이를 따로 챙겨갔었습니다.(엄마가 금속 알러지가 있으셔서 저도 있을까봐 불안했거든요ㅠㅠ)귀걸이를 따로 챙겨가서 저는 시술비용만 지불했어요!귓볼 시술비용은 한 쪽당 만원씩입니다. (양쪽 2만원)?아마 매장에서 귀걸이를 따로 구매하시고 시술을 받으시면 2만원+귀걸이 가격으로 지불하셔야 할 거예요!금속 알러지 걱정이 없었다면 저도 아마 귀걸이를 따로 구매했을텐데요ㅠㅠ
"
1107,"
?매장에서 14k금귀걸이랑 티타늄 재질의 귀걸이를 알러지 방지용으로 판매하는 것 같았어요.금귀걸이 가격이 약 4~5만원인가정도로 비쌌던 것 같고티타늄도 3만원 이상으로 기억하고 있어요.학생에게는 조금 부담스러운 가격이긴 하죠ㅠㅠ근데 시술비용은 적당한 것 같아요!?아, 그리고 건대 심미안 피어싱에서는 원하신다면 시술 전 마취크림도 발라줘요!저는 겁이 많으니까^_^ 당연히 마취크림 발라달라고 했습니다ㅎㅎㅎㅎ?
"
1108,"
마취크림을 바르게 되면 30분 정도는 크림을 바른 채로 대기하셔야 해요.저는 저 상태로 30분을 앉아서 기다렸습니다ㅎㅎ어차피 제 앞에 오신 분들이 많아서 30분 정도는 대기해야 했습니다.?다른 곳에서도 시술 전 마취크림을 발라주는지 모르겠네요.
"
1109,"
마취크림 귀에 발라놓고 다른 분들 시술하는 것을 보고 있는데저보다 한참 어린 친구(초등학생으로 추정되는)도 얌전히 잘 시술받더라구요ㅎㅎ심지어 그 친구는 마취크림도 안 발랐는데ㅎㅎㅎㅎ언니가 나잇값을 못하는구나ㅋㅋㅋㅋㅋ?시술실은 왠만하면 찍고 싶었는데, 제 앞에 분들이 계속 시술을 받고 계시기도 했고문 앞에 촬영하지 말라고 씌여있어서ㅠㅠ 촬영을 못했어요...ㅠㅠㅠ?그리고 약 30분간 대기한 끝에, 제 이름을 부르셔서 시술실 안으로 들어갔답니다!시술실 안에는 치과에서 치료받을때 앉는 의자같은게 놓여있었고, 그 앞에는 각종 도구들이 놓여있었어요.저는 치과의자같이 생긴 의자에 앉아서 시술을 받았습니다.의자에 베개가 놓여있어서 통증인형인줄ㅋㅋㅋ?시술과정을 묘사해보자면,우선 발라두었던 마취크림을 닦아내고 귓볼에 네임펜으로 시술할 부위를 표시해주십니다.그리고 거울로 위치가 적절한지 직접 확인할 수 있게 해주세요!(근데 저는 뭐 봐도 몰라서...ㅎㅎ어련히 알아서 잘 해주시겠거니 하고 맡겼습니다ㅋㅋㅋㅋ)그리고 귓볼을 소독약으로 소독해주세요! 시술할 때 장갑도 새걸로 끼시고 뚫는 도구도 다 일회용인것 같았어요.아, 그리고 착용할 귀걸이도 다 소독해주니 위생은 철저하게 하시는 것 같았어요.?그리고 이제 뚫습니다.???*내가 상상한 고통*
"
1110,"
(아마존 원주민의 실제 뽀뚜루 사진을 쓰려다가 일부에게 안좋은 느낌을 줄 수 있을것 같아 패러디로 대체했어요...) ?*실제 느낌 = 주사맞는 느낌*??거의 아무 느낌도 안났어요 진짜로...제가 마취크림을 바르고 시술해서 더 아무느낌이 안 들었을 수도 있는데정말로 주사맞는 느낌이었어요. 뚫는데 1초도 안걸린 것 같아요.귀걸이는 해보고 싶은데 귀 뚫는게 무서워서 여태껏 계속 미뤄왔거든요ㅠㅠ근데 그 세월이 무색해지네요ㅋㅋㅋㅋㅋㅋㅋ
"
1111,"
?시술을 다 하시면 연고와 각종 주의사항이 적힌 종이를 주십니다.?
"
1112,"
?근데 이게 정작 뚫을 때는 괜찮은데뚫고 나서 관리하는게 더 힘든 것 같아요ㅠ?잘 때도 똑바로 누워서 자야하고... 씻을때랑 옷 갈아입을때 잘못해서 귓볼 툭 치면 오히려 그게 더 아프더라구요ㅋㅋㅋ?그래도 심미안 피어싱에서 시술 잘 해주셔서덕분에 귀 잘 뚫고 왔네요!빨리 한 달이 지나서 다른 귀걸이도 착용해보고 싶어요ㅎㅎㅎ?그럼 이상으로 쫄보 찐맘보의 귀뚫은 후기 마치도록 할게요감사합니당
"
1113,루소주얼리 건대
1114,"
writer_윤블리
"
1115,"
???열어분 ! 저는 요즘 더위를 피하는 방법에 대한 컨텐츠인거 같아요ㅋㅋㅋㅋㅋ실내에서 다양한 방법으로 놀기 !! 이런거 (? ??_??)?전에는 미용실에서 피서 피하기,,,, 또는 맛집에서 이열치열 여름 나기 :)???이번에는 반지 만들기 하러 가서 무더위도 잊고 반지 만들고 왔습니다희희히히??#반지만들기#커플반지??
"
1116,"
???반지 만들러 갔는데 왠 강아지???애견 카페 아닙니덩 반지만들기 카페 맞아요 >_< ♥???들어가면 요 아이가 냄새 킁킁 맡으면 맞이해줘요 ㅎㅎ이름은 인절미 !! ?#반지만들기카페?
"
1117,"
?????짜잔 ! 빠르게 스윽 봐도 퀄리티가 아주 좋죠??기본 라인부터 다양한 다자인까지 좀 퀄리티가 남다른 거 같아요 그래서 저희는 맨 아래 리본같은 디자인으로 결정 !이번에는 오빠 의견에 좀 따라줬어요 히히저는 장난으로 커플링 족쇠라며... 족쇠 티 안나는 체인 느낌으로 힙하게 가자했지만 오빠는 누구보다도 커플링 같은 디자인을 골랐네여 ㅋㅋㅋㅋㅋ크킄ㅋㅋㅋ?????근데 아무리 봐도 이런 가격에 이런 디자인이면 ... 앞으로 루소주얼리만 찾을 거 같아요주변에 벌써부터 소문 내는즁 ♥??????
"
1118,"
?????이렇게 두 자리씩 세 테이블이 있어요 !근데 사람이 많이 들어와도 사장님은 전혀 당황하지 않고능숙하게 안내를 해주십니다 ??진짜 베테랑.. ?루소주얼리 잘 되는 이유가 다 사장님 덕분이었나봐요:)???
"
1119,"
?????음료도 냉장고에서 하나씩 꺼내마실 수 있는데 완전 친절쓰..어떻게 이렇게 마련해두실 생각을 ㅠㅠㅠ^ㅠㅠㅜㅜ반지 디자인 고르고 사장님이 틀 만들어 주시는 동안에 음료 마시면서 절미랑 놀았어요 ♥?♥?♥?????
"
1120,"
??크아아아앙 - !!?놀아달라구 저거 매듭 입에 물고가만히 보고 서있더라구요 ㅋㅋㅋㅋ짱귀여워ㅠㅠㅠㅜㅜㅜ?절미야 언니 집에 같이 갈뤠?ㅠㅠ??ㅋㅋㅋ크킄ㅋㅋ 시간 가는 줄 모르고 절미랑 사진찍고 있다가이제 반지 만들기 시작 !???
"
1121,"
반지 만드는중 
"
1122,"
?????앞치마 시선강탈 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ넘 귀엽쥬 ㅋㅋㅋㅋㅋ피치 귀요미>_<??앞치마를 하고 있으면 사장님이 어떤 걸 해야하는지 알려주세요 ! 그래서 처음 만드는 분들 걱정 안하셔도 됩니더 ㅎㅎ??
"
1123,"
?????이렇게 저희는 서로의 반지를 바꿔서 만들어주기로 했어요:)그게 더 재밌더라구요 ㅎㅎ내꺼 내가 만드는 것도 좋지만 서로 바꿔서정성들여만들어 보는 것도 좋아요!!???
"
1124,"
????광내는즁 ㅎㅎ오래 광 낼수록 반짝 거린다구 ,,, 엄청 영심히 광 냈네유 크크킄ㅋㅋ ??
"
1125,"
?????아직은 완성된 것 같지 않쥬 ! 아직 큐빅도 박아야하구 좀 더 손질을 해야해요마무리는 루소주얼리 사장님이 직접 해주셨답니다♥??한 15분 안되게 걸리는 거 같아요!!사실 인절미랑 노느라 기다린줄도 모르고시간이 훅 지나갔어요 ㅠ^ㅠ???
"
1126,"
???이쯤에서 절미를 소개해드리자면 !ㅎㅎㅎㅎ?똑똑 하기로 소문난 리트리버에요>_<진짜 너무너무 순하고 착한 아이 ㅠㅠㅠ????
"
1127,"
????쓰다듬어쥬면 이렇게 누워서 쳐다보는데 엄청 사랑스러워유 ㅠㅠㅠㅜㅜ절미 보고 있으면 시간 가는 줄 모릅니더 ?사랑스러운 아이 ㅎ히히이 친구 덕분에 심심할 틈이 없어요 ♥????
"
1128,"
?????언니 발냄새 킁킁 ( ????????? ????????)????
"
1129,"
????사장님이 서비스로 폴라로이드도 찍어주셨는데마침 옆에 절미가 있어서 같이 >_<?????
"
1130,"
???짜라라랑 ~!!?완성됐어요 ㅎㅎㅎㅎ거의.... 새로 산 느낌 ㅎㅎ만든것 같은 느낌이 아니라 어디서 하나 새거 구매한 것 처럼엄청 깔끔하구 깨끗해요!???
"
1131,"
????늠나 예쁜것 영롱해요.... 흐히ㅣ흐힣ㅎ아까 저희가 광낸거의 100배는 더 빛나는듯 ???쏴장님 감삼돠!!???
"
1132,"
???+???
"
1133,"
???흐히힣벌써 4번째 반지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ친구가 반지 수집하냐구,,,지금껏 했던 반지중에 제일 빛나고 예쁘고 같아요아마 다음에 커플링 또 바꾸고 싶을때요기 루소주얼리 갈듯해요반지도 완성도 있고 서비스도 넘넘 좋아서 강추에여?그리구 사랑스러운 인절미도 있구요?♡???????????????
"
1134,"
??



?
"
1135,아트박스 건대
1136,"
안녕하세요 아트박스 프렌즈 12기 차밍안나 입니다. 이번 연말을 맞이해서 나홀로 홈파틸 계획 했는데 여러가지 아이템들을 구입했어요!????????
"
1137,"
아트박스 건대스타시티점 은 네이버 지도 상으로 보시면 안되요ㅠㅠ 오류가 있어서 지도가 틀리게 있어요ㅠㅠ 정확히 가시는 법은 롯데시네마가 있는 건대스타시티 건물에서 지상 1층에 위치하고 있습니다.잘 모르시겠으면 그냥 건대스타시티 롯데시네마를 찾아서 그 건물 1층으로 가시면 돼요! 아니면 지하 1층 이마트를 찾아서 지상 1층으로 올라오시면 됩니다.???
"
1138,"
매일 오전10:30-오후10:00?
"
1139,"
?????
"
1140,"
여기가 바로 아트박스 건대스타시티점 입구에요~ 규모가 꽤나 크죠? 사실 저는 스타시티도 거의 처음 와보고 이쪽 아트박스도 처음 왔는데 커서 좋았어요. 넓으면 넓을수록 시간 가는 줄 모르고 구경할 수 있잖아용! 헤헤?제가 방문했을 당시에는 크리스마스 시즌이여서 크리스마스 디피가 입구부터 눈에 띄더라구요~ 연말 분위기 뿜뿜 나서 나홀로 연말 홈파티 용품 구매도 더 기대 됐어요.?????????????
"
1141,"
연말 하면 가장 먼저 떠오르고 엄청나게 큰 휴일인 크리스마스라 건대스타시티점 아트박스에는 크리스마스 용품이 뭐가 있나 한번 봤어요. 가로수길점과 마찬가지로 아트박스 만의 귀여운 캐릭터 인형들이 산타 복장을 하고 있고, 크리스마스 트리도 있었어요.?또 제가 저번에 산 산타모자에 이어서 건대스타시티점 아트박스에는 루돌프 모자가 있어서 탐나더라구요~크리스마스 기념으로 서로 크리스마스 카드도 많이들 주고 받아서 카드들도 있었어요.??????????????
"
1142,"
이제 곧 다가오는 2019년, 정말 얼마 남지 않았죠? 많은 분들이 신년 다이어리를 장만하시는데 아트박스 건대스타시티점에도 정말 다양 했어요. 저는 이미 올해 11월 말에 구매를 해서 따로 또 구입하지는 않았지만 너무 예쁜게 많아서 하나 더 살까 고민되더라구요~ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ?엄마랑 같이 갔는데 엄마도 다이어리랑 신년 달력이 예뻐서 하나 장만했어요?? 신년에는 더 예쁘게 다이어리도 꾸미고 달력도 꾸며야겠다고 생각하면서 이번 혼자만의 연말 홈파티를 계획했어요.?????????????????
"
1143,"
가족들과 가족 여행을 갈 예정인데 아트박스에 이렇게나 많은 종류의 파우치와 카드지갑, 카드 목걸이가 있더라구요~ 여행갈 때는 무엇보다 파우치가 많으면 많을수록 좋은데 아트박스 귀요미 캐릭터들이 그려진 파우치들에다가 크기도 정말 다양해서 고르기 쉽지 않더라구요~ 없던 선택 장애도 생길 정도로 넘나리 다 귀욥???그래서 여행을 떠나기 전에 내년에 다시 한번 와서 마음을 다잡고 고르기로 했어요ㅋㅋㅋㅋㅋㅋ우헤헤?????????????????
"
1144,"
 파우치들, 여권지갑 등을 다 보고 나니 옆쪽에 놓여있는 야채모양 필통들이-?????????????? 꺄하- 진짜 귀엽지 않나요? 일반적인 필통들도 있었지만 정말 색상도 너무 예쁘고 과일 종류도 다양하게 예쁘게 있어서 탐났어요.?또 연말 나홀로 집에 홈파티 할때 입기 좋은 수면 잠옷도 있더라구요~ㅋㅋㅋㅋㅋㅋ저는 땀이 많아서 수면 잠옷을 입지는 못하지만 눈으로 만족했습니당!??????????????
"
1145,"
아트박스 가로수길점에서 잠시 소개했었던 아트박스의 화장품 비롯! 저번 발대식에 받은 제품들을 사용해보니 정말 가격대비 만족도가 좋더라구요~ 이번 건대 스타시티점에는 색조 화장품도 있고, 향수도 있고 립밤 같은 제품들이 종류가 참 다양해서 색달랐어요!?????????????????
"
1146,"
아트박스의 맥주잔에 이어서 소주잔도 넘나리 센스 넘치지 않나요? 건배!ㅋㅋㅋㅋ우헤헤 너무 귀엽더라구요~  연말 나홀로 홈파티에서 맥주잔 하나, 소주잔 하나를 구입해서 소맥을 마실까 잠시 고민하게 했어요.???텀블러도 종류가 엄청 다양-! 하루에 2L 정도의 물을 마시면 다이어트와 피부 미용에 좋다고 해서 매번 다짐하는데 실천이 잘 안되더라구여ㅠㅠ 저런 큰 물병에 담아서 들고 다니면서 마시면 좀 더 편하지 않을까용!?????????????????
"
1147,"
제가 이번에 노트북을 맥북으로 바꿔서 여러가지 컴퓨터 용품들을 구입해야 되는데 아트박스에 엄청나게 다양하게 있더라구요! 심지어 가격도 핵저렴-???마우스나 usb 뿐만 아니라 마이크, 셀카봉 등등 엄청 많더라구용! 유튜브도 하고 있으니 종종 들러서 필요한 아이템들을 구입할 거 같아요!??????????????
"
1148,"
새해에는 목표하는 자격증들, 그리고 해야 할 공부가 아주 많은데요~ 밤에도 열심히 공부하기 위해서 필요한 스탠드와 조명들이 가득하더라구요~ 너무 귀여운 모양들이라 공부하면서 한번씩 쓱 보면 귀여워서 기분이 좋아질거 같아요.?시간을 체크할 수 있는 전자시계와 타이머들도 있어서 시험 공부 하는 분들께는 정말 좋을거 같더라구요!??????????????
"
1149,"
아트박스 하면 역시 그래도 문구류와 필기류죠? 진짜 큐티뽀작한 그림이 그려진 스티커와 노트들, 펜류가 있어서 여러개 구입했어요. 나홀로 연말 홈파티에서는 신년에 다이어리 꾸미기를 열심히 하겠노라 다짐하면서 다이어리 마지막 장도 예쁘게 꾸밀겁니다!??????????????
"
1150,"
생일이나 기념일에 쓰기 좋은 꼬깔모자도 있고 가방에 달 만한 귀요미 인형들도 많았어요. 심지어 실내용 슬리퍼에도 아트박스 캐릭터 친구들이 있더라구요~ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ흐엉 발에 땀만 안 많았어도 집에서 맨날 따숩게 신고 다녔을텐데 너무 아쉬웠어요ㅠㅠ?오버액션토끼 캐릭터도 참 좋아하는데 미니어처 인형이 있어서 참 탐나더라구요~ 여자친구 선물 고민하시는 분들도 한번 보시면 굿굿???????????????
"
1151,"
다음 포스팅에 자세히 다룰 제가 구입한 아이템들을 살짝 보여드리자면 마스킹 테이프를 세가지 구입했어요. 다이어리 꾸미기로 올해의 유종의 미를 거두기 위해서 예쁜 친구들로 골라 봤어요. 즐거운 노래를 들으면서 저는 예쁘게 다이어리 꾸미기를 하며 홈파티를 할 예정 입니다!?????????????
"
1152,"
내년에 볼 시험도, 공부할 것도 많은데 계획도 세우고 이것저것 해보려고 구입한 각종 노트들 입니다. 역시나 아트박스의 귀요미들이 그려져 있어요!ㅋㅋㅋㅋㅋㅋㅋ 모든 노트의 용도는 다음 포스팅에 제대로 다루겠습니당!홀로 연말 홈파티에는 역시 내년 계획을 짜는게 최고지용~!?????????????
"
1153,"
마지막으로 올 한해 감사했던 분들께 손편지에 꾹꾹 진심을 눌러 담아 전달하려고 해요. 정말 이것저것 많은 일들이 있었는데 주변에 정말 감사한 일들이 많아요. 홈파티에서 그 감사함을 다시금 떠올리고 편지에 적어 보려고 합니당!??????????????
"
1154,"
마지막으로 모두 골라 담아서 아트박스 건대스타시티점에서 결제를 했습니다. 아트박스 통합 멤버십 앱이 엄청 간편하고 포인트도 쌓을 수 있으니 사용하시면 굿굿???산타 모자를 쓴 팬더가 그려져 있는 쇼핑백에 차곡차곡 담긴 연말 나홀로 홈파티 용품들?? 다음 포스팅을 기대해 주세요-????????#연말홈파티#나홀로홈파티#홈파티용품#아트박스프렌즈#아트박스건대스타시티점#아트박스#아트박스프렌즈12기??????
"
1155,화양시장 건대
1156,"
??건대입구역에서 화양시장쪽으로 오면늘 줄서서 먹는사람 가득가득한 #환이네갈비살 있는데요,대기가 너무 많아서 갈 엄두를 못내다가이번에 근처에 확장오픈 해서대기없이 빠르게 다녀왔습니다
"
1157,"
??+ 위치
"
1158,"
???+ 외부?
"
1159,"
??+ 내부?본점도 자리가 있어2호점이 아닌 본점에서 자리 잡았어용
"
1160,"
??+ 메뉴?자리에 앉아서 줌해서 찍은거라화질이 좋지않네요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ?환이네갈비살이 유명하고손님이 많은 큰이유는 바로 가격!?소고기인데도 너무 저렴해서#건대가성비맛집 으로 유명한 것 같아요이번엔 소고기를 먹었는데친구들이 삼겹살 & 목살도 먹어봤는데맛이 좋대요
"
1161,"
??+ 기본반찬
"
1162,"
??차돌된장찌개까지 기본으로 나오니완벽합니다
"
1163,"
??소갈비살 2인분?우선 #건대환이네 왔으니갈비살을 주문해야겠죠?가격이 저렴한만큼 1인분의 그람수가..작...하지만 그걸 감안해도 저렴한건  저렴한거죠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ?빛깔은 합격!적당한 마블링이 있어 보기 좋아용
"
1164,"
??불판에 바로 올려지글지글이 시간이 제일 힘들지만소고기는 금방익으니 문제없습니다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
"
1165,"
?
"
1166,"
??역시나 금방익기 시작하고사진보다 타지않는 게 더 중요하니바로바로 뒤집어줍니다타이밍이 생명
"
1167,"
??그렇게 열심히 구운 덕에노릇노릇맛있게 구워진 갈비살
"
1168,"
??정말 먹음직 스럽지 않나요사진 보면서도 군침이 돕니다?첨엔 기본의 맛을 느끼기 위해그냥 먹어봤지용
"
1169,"
??그리고 그 담부터쌈으로 !!명이나물과 상추무침함께더더더더 꿀맛넘 맛있었어요오오옹 !고기자체가 사르르 녹는 맛은 아니고약간 힘이 있습니다!!!ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
"
1170,"
??차돌박이?그리고 양이 모자라서 주문한 차돌박이
"
1171,"
??그리고 배고플때최고의 부위죠삭삭 뒤집으면다 익어서빨리 먹을 수 있어저의 최애메뉴
"
1172,"
???
"
1173,"
??역시나 맛은 있지만,갈비살 훠~~~~~~~~얼씬 맛있으니환이네에서는 꼭 갈비살 드세요!ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
"
1174,"
??물냉면?그리고 역시 마무리는 냉면으로!시원한 살얼음이 있어더 개운하게 먹을 수 있었어요차돌을 조금 남겨같이 먹으니 좋더라구요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 
"
1175,"
??늘 손님이 북적북적지나가면서 늘 궁금했던환이네갈비살!드디어 방문해봤는데요역시 손님이 많은 이유는 착한가격과맛있는 고기! 때문이였습니다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ?근데 역시 시그니처메뉴인 갈비살이 최고니다시한번 강조하여 꼭 시그니처메뉴를 드세용
"
1176,"
?
"
1178,건국대학교 건대
1179,"
?현재 미국 중앙은행에서 기준 금리를 0.25% 인하 하면서 2008년 금융위기 이후 첫 금리 인하를 단행 했는데, 이로인해 예적금 금리와 대출금리가 모두 낮아질 전망입니다.?예적금 금리가 현재도 2%대인데, 1%대로 내려가게되면 원금보전 기능밖에 안생기니 당연히 은행에 묶여있던 돈들이 시중에 풀리게 되겠죠 게다가 대출금리도 주택담보대출이 2%대인데  이마저도 1~2% 사이로 조정되면 당연히 낮은  이율의 대출을 받아서 그 대출금을 통해 부동산에 투자하려는 사람들이 늘어나겠죠??http://news.kbs.co.kr/news/view.do?ncd=4253946&ref=A
"
1180,"
하지만 분양가 상한제 등 주택에 대한 규제는 계속 강화가 되어 아파트 등 주택에 투자하기가 쉽지 않은 상황입니다. 따라서 부동산 중에서도 주택수에 포함이 되지 않는 수익형 오피스텔 투자에 관심이 집중되고 있습니다.?강남 근방 역세권으로 신규 분양하는 오피스텔의 가격대를 보면 보통 4억 중반~후반까지 금액대가 상당히 높은 편입니다. 월세도 지역에 따라 다르지만  보통 100~120만원정도 받고 있구요. 분양가는 더  저렴하게 월세는 높게 받을 수 있다면 투자수익률이 높아지는 것이니당연히 투자할 만한 가치가 생기겠죠??현재 2호선 황금라인 노선중에 서울7대상권 중의 하나인 건대입구역 근방으로 신규 오피스텔 분양이 시작 되었습니다. 7호선 어린이대공원역 도보 1분거리에 위치해있고, 2호선 7호선 건대입구까지도 도보 5분이내로 갈 수 있는 더블역세권/초역세권  위치이며 도로변에 있는 황금 노른자 땅 입지입니다.?
"
1181,"
?신세계건설에서 시공하는 1군 브랜드 오피스텔이고,서울 광진구 화양동 일대에서 가장 큰 규모로 들어가는 491세대 입니다. 지하 1층~지상 2층까지 근린생활시설인 상가가 모두 입점하고,지상 3층~지상 20층까지 거주가 가능한 오피스텔이 지어집니다.?근방에 원룸, 빌라촌이 형성되어있고 최근에 지어진 오피스텔도 많이 있지만 시공사 브랜드가 1군에 해당되는 오피스텔은 이것이 처음이고화양사거리 일대는 상업용지라서 오피스텔 등 상가가  많이 들어섰지만 어린이대공원역에서 건대입구역  사이로는 오피스텔을 지을 수 있는 상업용지가 매우 적어서 허가를 매우 어렵게 받아 최고높이로 지어지고 있습니다.?전세대 복층으로 구성되고 층고 또한 타사보다 높은 4.2m 높이라서 전체 건물높이도 일대에서 가장 높이 올라가는데, 근방에 있는 건국대학교, 세종대학교,  서울어린이대공원의 경우 고도제한으로 건물의 높이가 매우 낮기 때문에 현재 지어지고 있는 당사의 건대 오피스텔은 4면 조망권이 모두 확보가 되어 탁 트인 전망을 감상할 수 있는 최고의 입지입니다.?
"
1182,"
?오늘 포스팅 할 내용은 본 오피스텔 현장 근방에 있는 풍부하고 다양한 인프라에 대해 설명드리고자 합니다. 오피스텔을 투자할 때 물론 내부시설과 평형대, 구조도 중요하지만 차후 높은 시세차익과 안정된 월세를 좌우하는것은 주변의 풍부한 인프라와 입지요건이기 때문입니다.?지도를 보아도 한눈에 설명이 되는 건대 근방의 편의시설을 하나하나 사진을 보면서 설명드리고 얼마나 도보로 가까운 거리인지 실제로 거주하게 된다면 이런 편의시설을 얼마나 가깝게 이용가능한지 알려드리고자 합니다.?가장 큰 인프라는 대학가 중심이기 때문에건국대학교와 세종대학교를 첫번째로 들 수 있고,요새는 한강뷰 뿐만이 아니라 공원뷰도 인기가 많기 때문에 숲세권의 입지를 누릴 수 있는 서울 어린이대공원이 바로 맞은편에 있습니다.또한 학생들이 가장 중요하게 여기는 건대로데오거리, 세종먹자골목이 맞은편에 위치해있으며 도보 10분내로 건대 롯데백화점과 건대 스타시티몰 등 복합쇼핑공간이 매우 가까운 위치에 있습니다. 마지막으로 대학병원은 응급상황에서  매우 필요한 시설인데 건국대병원이 같은 라인에 도보 8분내로 위치해있어 언제 어디서든 검진이 필요할 때 바로 이용이 가능한 위치입니다.?
"
1183,"
?여기는 건대 빌리브인테라스 현장의 중심에서어린이대공원역 쪽으로 건대입구 쪽으로 바라보며 찍은 사진이고 화양사거리와는 다른 분위기로 매우 깨끗하고 안전한 거리입니다. 광진구에서 걷고싶은 산책거리로도 선정될 만큼 푸른 나무가 우거진 산책로가 아주 아름답게 형성되어 있어서 매우 더운 여름에도 그늘이 져서 시원하게 걸을 수 있습니다.?또한 건국대학교가 바로 옆에 있기 때문에여학생들의 경우 위험한 원룸 골목에서 벗어나탁 트인 넓은 도보길에서 등하교를 할 수 있습니다.?물론 맞은편에도 상가들이 줄지어 운영되고 있고술집같은 유흥문화는 역 근처에 있기 때문에오히려 학생들에게 안전한 거리라고 자부할 수 있습니다.?
"
1184,"
?건대 롯데백화점은 건대입구역에서 횡단보도만 건너면 바로 위치해있을 정도로 매우 가깝습니다.보통 백화점 근처는 도로 상황이든 개발이든 활발하게 진행되고 근방이 깨끗하면서 상권형성이 안정적으로 되어있어서 토지의 가치가 지속적으로 향상되는 곳이라 투자가치가 높은데 본 현장에서 도보 10분내로 롯데백화점이 위치해있기 때문에 향후 건대 빌리브인테라스의 미래가치 또한 상상할 수 없겠습니다.?
"
